mode,mu,sigma,mean_u,ppl_var,ppl_max,corrected_state,text_snippet
wild,0.4,0.01,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.015,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.02,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.025,0.5081761904761906,375.73627031457835,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.03,0.5081761904761906,377.69122996706966,74.21970554926386,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.035,0.5081761904761906,376.86542016270164,74.38819523269014,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.04,0.5081761904761906,370.4417512186649,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.045,0.5081761904761906,367.17932328348945,73.63595505617974,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.05,0.5081761904761906,363.8670052338849,73.55331088664423,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.055,0.5081761904761906,356.46249813909753,72.65631929046565,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.06,0.5081761904761906,362.8037546278594,73.51205832865956,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.065,0.5081761904761906,371.84601801129566,74.09383832673826,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.07,0.5081761904761906,384.7735157558513,75.28546812176909,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.4,0.075,0.5066974999999999,201921.11621740804,3809.540417801996,1,"finding the end of the rainbow. You must seek it for the sake of seeking it, not to find it. [Willia..."
wild,0.4,0.08,0.5066974999999999,171429.05753436944,3432.327332242225,1,"finding the end of the rainbow. You must seek it for the sake of seeking it, not to find it. [Willia..."
wild,0.4,0.085,0.5006,15438520955.659863,1118481.0666666667,1,finding the end of the rainbow. It is an ideal that we all strive for and look for but never quite r...
wild,0.4,0.09,0.50044625,6927.044774197272,687.5908196721309,3c,"finding the end of the rainbow. It is an ideal that is just out of your reach, but because you can i..."
wild,0.4,0.095,0.50044625,7327.663369376443,708.0189061444968,3c,"finding the end of the rainbow. It is an ideal that is just out of your reach, but because you can i..."
wild,0.4,0.1,0.49872875,28626.4926546417,1078.2272493573269,1,the secret to a delicious meal. It comes down to one thing: your ingredients. I have something to te...
wild,0.405,0.01,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.405,0.015,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
wild,0.405,0.02,0.5081761904761906,375.73777050091894,73.92667794698251,1,"finding the end of the rainbow. Once you get there, the treasure is yours and yours alone...."
